,probing dataset,linguistic subfield,linguistic phenomena,probe type,train portion,probe,EleutherAI/pythia-1b,EleutherAI/pythia-1b-deduped,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b-deduped,EleutherAI/pythia-12b,EleutherAI/pythia-12b-deduped,EleutherAI/pythia-160m,EleutherAI/pythia-160m-deduped,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b-deduped,EleutherAI/pythia-410m,EleutherAI/pythia-410m-deduped,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b-deduped,EleutherAI/pythia-70m,EleutherAI/pythia-70m-deduped,albert-base-v2,bert-base-uncased,google/electra-base-discriminator,google/flan-t5-xxl,google/flan-t5-large,google/flan-t5-xl,google/flan-t5-base,google/flan-t5-small,google/flan-ul2,google/t5-small-lm-adapt,google/t5-base-lm-adapt,google/t5-large-lm-adapt,google/t5-xl-lm-adapt,google/t5-xxl-lm-adapt,google/ul2,gpt2,facebook/bart-base,meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-hf,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-hf,microsoft/deberta-base,microsoft/deberta-v3-base,roberta-base,allenai/tulu-2-dpo-13b,allenai/tulu-2-13b,allenai/tulu-2-70b,allenai/tulu-2-dpo-70b,microsoft/Orca-2-13b,lmsys/vicuna-13b-v1.5,mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,databricks/dolly-v2-12b,WizardLM/WizardLM-13B-V1.2,ibm/merlinite-7b,ibm/labradorite-13b,allenai/tk-instruct-11b-def,sentence-transformers/average_word_embeddings_glove.840B.300d,sentence-transformers/average_word_embeddings_glove.6B.300d
92,blimp-animate_subject_passive,syntax,argument structure,sentence classification,1,blimp-animate_subject_passive,0.96749537,0.944955599,0.953447139,0.51455704,0.976995993,0.978996134,0.333333343,0.359332383,0.97549423,0.968981433,0.929864478,0.91149714,0.97249589,0.980499387,0.333333343,0.333333343,0.922980237,0.951996553,0.911914885,0.963999534,0.95698756,0.966999781,0.935962391,0.916474283,0.97949326,0.892852342,0.913474727,0.904992092,0.950993145,0.972499061,0.947996128,0.902308679,0.971493733,0.968986583,0.956486368,0.971985698,0.970491695,0.95749315,0.936373532,0.936982048,0.915293264,0.913497257,0.963471925,0.963976121,0.958977425,0.954463279,0.97049861,0.973995769,0.975986469,0.959489286,0.97248733,0.974998474,0.961479652,0.963982582,0.931996298,0.765955198,0.897305501
114,blimp-animate_subject_trans,syntax,argument structure,sentence classification,1,blimp-animate_subject_trans,0.972997165,0.975498128,0.971496403,0.971499896,0.972998691,0.976498353,0.333333343,0.341926551,0.969495714,0.972999215,0.976498604,0.966666331,0.969489205,0.977997863,0.333333343,0.333333343,0.920986068,0.945999599,0.904991186,0.945995152,0.909336233,0.93095907,0.907333636,0.890224707,0.943975163,0.910738909,0.921343267,0.897355676,0.921853507,0.937954688,0.929383624,0.953479242,0.9514938,0.974495983,0.979997408,0.972996652,0.97049576,0.977498341,0.976999283,0.946990871,0.893985653,0.911430693,0.977495146,0.978996146,0.973998797,0.972996938,0.975993919,0.976991391,0.975496876,0.978498149,0.976999426,0.850602875,0.972498775,0.969495571,0.924862945,0.883986843,0.780986297
110,blimp-causative,syntax,argument structure,sentence classification,1,blimp-causative,0.970498359,0.966499293,0.973997426,0.963496268,0.977998924,0.977998006,0.333333343,0.333333343,0.968498158,0.965998709,0.930490971,0.938990629,0.977998972,0.97999655,0.333333343,0.333333343,0.818777514,0.888945293,0.864627969,0.916438723,0.864317393,0.908788848,0.841470683,0.8224823,0.911796403,0.796158028,0.845257318,0.819988108,0.876809585,0.895365298,0.86697768,0.92795707,0.935472953,0.974998617,0.97549777,0.981999612,0.975498414,0.978498578,0.97599951,0.903463268,0.869817567,0.854460382,0.974998796,0.977499628,0.971999443,0.974498761,0.972491562,0.979999816,0.986999631,0.982497978,0.974998927,0.963996089,0.973498714,0.978998518,0.875229907,0.858997846,0.824832666
62,blimp-complex_NP_island,syntax,island effects,sentence classification,1,blimp-complex_NP_island,0.960498524,0.962485695,0.960499609,0.951864406,0.968997097,0.969996178,0.353026921,0.333333343,0.944995034,0.944487727,0.912487376,0.882409775,0.967491055,0.965998256,0.333333343,0.333333343,0.940989017,0.937437546,0.970499837,0.990624726,0.927463925,0.920959461,0.9074121,0.904995263,0.973496521,0.788420689,0.89199698,0.873490727,0.913498378,0.979498982,0.927940297,0.8607499,0.971499312,0.948980105,0.940986228,0.958472002,0.948456275,0.954498959,0.940988171,0.961473429,0.967498827,0.909410799,0.959492517,0.961975944,0.950496519,0.955996478,0.959994698,0.963496184,0.969986165,0.962996137,0.961976409,0.948739782,0.97099905,0.946486712,0.888465607,0.497950995,0.496818978
41,blimp-coordinate_structure_constraint_complex_left_branch,syntax,island effects,sentence classification,1,blimp-coordinate_structure_constraint_complex_left_branch,0.992499793,0.994499779,0.99399991,0.994499946,0.997499943,0.99499979,0.333333343,0.349344909,0.993499994,0.994499993,0.989498627,0.995499921,0.995499873,0.994499898,0.333333343,0.351087004,0.993499804,0.990999842,0.997499943,0.987499297,0.959997869,0.977996802,0.986996019,0.939441669,0.988999748,0.886145771,0.965494835,0.915481877,0.978999233,0.995000005,0.98449862,0.993999839,0.995499873,0.99649992,0.993999791,0.996999931,0.992499661,0.999499989,0.99649992,0.995499754,0.992999959,0.984999919,0.998999977,0.997999954,0.997999954,0.995499873,0.995499969,0.995000005,0.998749971,0.997499967,0.999499989,0.992499721,0.996499944,0.997999954,0.955326295,0.495760846,0.497759998
47,blimp-coordinate_structure_constraint_object_extraction,syntax,island effects,sentence classification,1,blimp-coordinate_structure_constraint_object_extraction,0.988999963,0.994499946,0.991999841,0.98499676,0.983499432,0.993499291,0.333333343,0.353505421,0.990499473,0.984998691,0.980998456,0.982499611,0.988499475,0.988499665,0.333333343,0.333333343,0.962995589,0.972492051,0.9834957,0.981997585,0.883290303,0.947451138,0.956929278,0.939972103,0.951440835,0.937917256,0.957481539,0.893115014,0.960982752,0.975999558,0.9739995,0.976495004,0.983498764,0.991999638,0.990499473,0.991499925,0.991498983,0.984999371,0.982997561,0.975999761,0.966982162,0.929991746,0.988499153,0.987498057,0.991497588,0.993999767,0.994499743,0.988499582,0.993999839,0.990999866,0.991499841,0.99599998,0.983999383,0.991499567,0.947444558,0.498687005,0.496875209
67,blimp-determiner_noun_agreement_1,morphology,determiner noun agreement,sentence classification,1,blimp-determiner_noun_agreement_1,0.950993407,0.948493743,0.959497893,0.945493793,0.966994441,0.954989791,0.333333343,0.352592897,0.957986498,0.968499625,0.87412864,0.898926663,0.971498239,0.959993851,0.342430079,0.333333343,0.917484164,0.881491399,0.988498712,0.986999893,0.907474935,0.979499292,0.891159391,0.649075782,0.980998075,0.757364142,0.878634953,0.887755322,0.932990062,0.981999874,0.918796539,0.868777704,0.978999662,0.916993582,0.933464372,0.956996691,0.941464615,0.906457448,0.920996666,0.907471438,0.995499897,0.898494983,0.927493167,0.932995427,0.952490711,0.952991307,0.927493672,0.958481014,0.967490244,0.93496213,0.957976174,0.906994545,0.923483336,0.938451767,0.932489264,0.521602112,0.507040298
80,blimp-determiner_noun_agreement_2,morphology,determiner noun agreement,sentence classification,1,blimp-determiner_noun_agreement_2,0.900938904,0.910900247,0.916482615,0.922469687,0.959991753,0.954995441,0.333333343,0.333333343,0.939495611,0.920980835,0.858480608,0.857884586,0.955979061,0.949581782,0.333333343,0.333333343,0.897875106,0.896996152,0.983497679,0.9699965,0.903995693,0.947490072,0.884354067,0.66964072,0.964499927,0.786601114,0.886983311,0.871866965,0.92647413,0.942438889,0.89834106,0.832340217,0.970499647,0.91843468,0.915480983,0.949496114,0.905971229,0.880885744,0.887429178,0.900702846,0.990998805,0.894196659,0.914472353,0.913946795,0.938496423,0.937988186,0.91692481,0.948492312,0.937986326,0.918484306,0.963996375,0.922438776,0.919921529,0.936995661,0.895889723,0.496818465,0.499381274
127,blimp-determiner_noun_agreement_irregular_1,morphology,determiner noun agreement,sentence classification,1,blimp-determiner_noun_agreement_irregular_1,0.90794915,0.889453566,0.90548532,0.896490335,0.920474029,0.92737273,0.333333343,0.333333343,0.915980709,0.907970572,0.860289359,0.845139754,0.915471971,0.914940834,0.336484277,0.333333343,0.81454916,0.84292233,0.889827406,0.931986117,0.816745555,0.872775042,0.746989536,0.616616297,0.910990107,0.673260844,0.77508589,0.756618953,0.813555455,0.920000017,0.817906344,0.804393959,0.87697221,0.876974916,0.873411977,0.933492351,0.884423041,0.824779367,0.843850887,0.805892378,0.938499606,0.76874454,0.864393306,0.868864524,0.909481859,0.90698005,0.864813161,0.89840337,0.891146564,0.889985096,0.917497838,0.867427528,0.869666743,0.898969555,0.850441885,0.535806417,0.528582263
93,blimp-determiner_noun_agreement_irregular_2,morphology,determiner noun agreement,sentence classification,1,blimp-determiner_noun_agreement_irregular_2,0.945481873,0.937943828,0.924484074,0.938988137,0.940482426,0.945997739,0.333333343,0.333333343,0.933989549,0.930986714,0.862942195,0.858187628,0.948474097,0.94448539,0.333333343,0.335536504,0.866759717,0.888131452,0.943997192,0.950469947,0.879753184,0.91443094,0.830535328,0.693620658,0.951995933,0.773386717,0.847147179,0.8437199,0.888318145,0.928994203,0.877942908,0.837997663,0.94044261,0.911460495,0.903837645,0.945985091,0.907834983,0.898440099,0.880783451,0.876431382,0.976998436,0.865339611,0.899877429,0.903935945,0.929477739,0.9234653,0.918455815,0.943475699,0.898829067,0.908978283,0.94697926,0.916189328,0.914462459,0.95299449,0.884754729,0.496535695,0.497551286
113,blimp-determiner_noun_agreement_with_adj_2,morphology,determiner noun agreement,sentence classification,1,blimp-determiner_noun_agreement_with_adj_2,0.832380617,0.85485028,0.840358901,0.864228916,0.900969362,0.912831545,0.333333343,0.333333343,0.88730067,0.873647988,0.797823358,0.772958422,0.908924234,0.88720721,0.333333343,0.333333343,0.853840935,0.888449299,0.956995654,0.958994591,0.858410382,0.912467813,0.830406904,0.621923614,0.95349133,0.708071327,0.849543071,0.827807379,0.914385569,0.963989449,0.875846863,0.75569278,0.917907012,0.876984012,0.891801429,0.904987335,0.874412656,0.831462419,0.864965975,0.933429945,0.969498801,0.875956404,0.867153513,0.87019459,0.888352346,0.873806989,0.855768168,0.904630937,0.895977068,0.910963202,0.893428731,0.827778089,0.859275603,0.907475495,0.848432124,0.497493345,0.497998118
120,blimp-determiner_noun_agreement_with_adj_irregular_1,morphology,determiner noun agreement,sentence classification,1,blimp-determiner_noun_agreement_with_adj_irregular_1,0.89488802,0.871946037,0.903978598,0.900473237,0.925937462,0.92198689,0.333333343,0.333333343,0.891277885,0.914470243,0.798419738,0.805112386,0.919994009,0.914981794,0.333333343,0.333333343,0.869827187,0.894947672,0.950498462,0.926992214,0.878147542,0.898380303,0.733915746,0.629487014,0.933485377,0.665876436,0.786950707,0.806942236,0.850343239,0.910982072,0.882982671,0.763124323,0.921496665,0.891895676,0.876912892,0.919484603,0.875914121,0.84438107,0.846878517,0.873488855,0.958498347,0.86594305,0.871256912,0.875787973,0.896380413,0.885878277,0.871250522,0.911483467,0.871816671,0.887949002,0.917992759,0.867410576,0.850427306,0.908972418,0.830037212,0.526919591,0.535967243
125,blimp-determiner_noun_agreement_with_adj_irregular_2,morphology,determiner noun agreement,sentence classification,1,blimp-determiner_noun_agreement_with_adj_irregular_2,0.835065162,0.83423214,0.874797308,0.887892032,0.906904697,0.891251051,0.333333343,0.352957565,0.878727317,0.872763598,0.751794958,0.792288506,0.871892393,0.901378572,0.333333343,0.333333343,0.848041683,0.871457148,0.942983127,0.946492863,0.852937841,0.897483814,0.735807002,0.57422868,0.919988072,0.595696366,0.808321297,0.82121762,0.847370768,0.904978633,0.856980765,0.697339475,0.893970084,0.872467875,0.834890878,0.901981914,0.851773787,0.81724292,0.807978019,0.865418971,0.945996189,0.829189122,0.856088543,0.851394129,0.88690753,0.878883672,0.813407218,0.895373309,0.866842294,0.869358861,0.900459945,0.853676569,0.847399509,0.845442748,0.850931394,0.496016586,0.497360069
118,blimp-determiner_noun_agreement_with_adjective_1,morphology,determiner noun agreement,sentence classification,1,blimp-determiner_noun_agreement_with_adjective_1,0.875381768,0.87493602,0.891408777,0.88799119,0.917974305,0.909398961,0.333333343,0.333333343,0.916982925,0.916492796,0.824851882,0.827428973,0.916469634,0.910970628,0.333333343,0.364962351,0.882673573,0.888994551,0.95549593,0.96749984,0.904492521,0.947497427,0.819400311,0.658060539,0.939493227,0.693959272,0.861793363,0.838288116,0.865989208,0.946974325,0.906458735,0.800641024,0.940497732,0.86638248,0.876442659,0.929957509,0.869158089,0.866349554,0.8758412,0.920377815,0.960465729,0.871783197,0.867745221,0.868242848,0.902348077,0.903418636,0.873967385,0.907672739,0.90539726,0.893422627,0.901987898,0.872390068,0.888942146,0.899791253,0.866460085,0.515119475,0.495795631
82,blimp-distractor_agreement_relational_noun,morphology,subject-verb agreement,sentence classification,1,blimp-distractor_agreement_relational_noun,0.795854175,0.850365233,0.869343317,0.840528595,0.889945877,0.894939649,0.333333343,0.333333343,0.864930606,0.86725949,0.764634311,0.705756891,0.877466905,0.879452598,0.333333343,0.333333343,0.830333599,0.719435418,0.981998491,0.956492364,0.794741535,0.891944671,0.756644237,0.625480056,0.952994132,0.593535113,0.744156253,0.777890575,0.858936536,0.94649601,0.891959333,0.576404977,0.860280108,0.914978683,0.918990612,0.936985958,0.892402363,0.861311567,0.882428622,0.862953782,0.964496791,0.834626377,0.890862107,0.888825381,0.919974279,0.918968046,0.928487265,0.929470885,0.908417237,0.89496733,0.899948525,0.642349744,0.865935111,0.913470054,0.876491737,0.496427518,0.500086868
147,blimp-distractor_agreement_relative_clause,morphology,subject-verb agreement,sentence classification,1,blimp-distractor_agreement_relative_clause,0.684088767,0.685854137,0.662344241,0.67700783,0.735466206,0.725902617,0.350958401,0.333333343,0.735111094,0.736562431,0.638404334,0.609707248,0.74759053,0.751337147,0.333333343,0.333333343,0.808829629,0.720476651,0.877465713,0.86444633,0.732473183,0.812898707,0.707836604,0.58410641,0.82883532,0.5853338,0.717207789,0.730195713,0.805972862,0.873899329,0.759075272,0.549107254,0.831070101,0.75563221,0.763960445,0.767404842,0.742967665,0.673450732,0.711616266,0.835443652,0.88734709,0.79857322,0.744883978,0.761370385,0.767468882,0.762679148,0.758843923,0.791034877,0.757948422,0.738630188,0.766181135,0.642136443,0.516969806,0.761979067,0.753238046,0.511773324,0.497635907
123,blimp-drop_argument,syntax,argument structure,sentence classification,1,blimp-drop_argument,0.974497449,0.966495574,0.967996013,0.962496376,0.978499043,0.986497688,0.333333343,0.385042554,0.964496934,0.963990963,0.929460001,0.912941647,0.970993304,0.984372713,0.333333343,0.333333343,0.879478228,0.894419503,0.89043659,0.940984821,0.834102631,0.892485225,0.848963678,0.811459363,0.935996723,0.79198724,0.829486537,0.825455058,0.87599268,0.919986308,0.886966205,0.917855966,0.937486279,0.979497612,0.974997342,0.990499437,0.975498426,0.977997065,0.964050375,0.833554256,0.879968715,0.848077074,0.980498517,0.9779984,0.97399708,0.970483875,0.973995781,0.980996084,0.983997822,0.987998867,0.978997898,0.988499498,0.964494598,0.98249861,0.896994829,0.888995171,0.864492488
111,blimp-ellipsis_n_bar_1,syntax,ellipsis,sentence classification,1,blimp-ellipsis_n_bar_1,0.916950738,0.924489546,0.931978285,0.923493421,0.961494756,0.957998085,0.333333343,0.333333343,0.93649112,0.938490641,0.886931849,0.861143708,0.957991827,0.959998608,0.333333343,0.356775802,0.922251797,0.848926568,0.915484226,0.957498741,0.834953535,0.90448755,0.894466448,0.828961909,0.953496242,0.832955682,0.849068522,0.819959044,0.86842401,0.924997187,0.930476093,0.838920474,0.947957778,0.951995838,0.950497413,0.966498578,0.954461193,0.933481157,0.927496362,0.943486822,0.955489373,0.917923307,0.949488533,0.953994119,0.960498536,0.958490074,0.954491985,0.963434234,0.962461253,0.928977168,0.945491934,0.942994595,0.960496378,0.947482073,0.862976468,0.834970117,0.510854197
108,blimp-ellipsis_n_bar_2,syntax,ellipsis,sentence classification,1,blimp-ellipsis_n_bar_2,0.955491352,0.939962065,0.940995085,0.947472453,0.973993766,0.96546464,0.333333343,0.395760936,0.964992762,0.963478887,0.911475801,0.894851482,0.960475624,0.966477263,0.333333343,0.333333343,0.967993939,0.917495942,0.976998854,0.984499788,0.977496243,0.969999146,0.945485413,0.866388607,0.997999954,0.89695977,0.949994254,0.935461092,0.98349973,0.991499972,0.98049916,0.887794209,0.965480614,0.963477242,0.96598084,0.974998474,0.944980729,0.956974816,0.943467236,0.970498705,0.986499023,0.923997581,0.957964981,0.965965712,0.950488019,0.958122164,0.964983118,0.976987755,0.962068687,0.95296483,0.962985229,0.966992891,0.972996867,0.972997367,0.964992166,0.685859263,0.689235485
104,blimp-existential_there_object_raising,syntax,control / raising,sentence classification,1,blimp-existential_there_object_raising,0.991998768,0.975997889,0.978999448,0.975497782,0.984999132,0.980490816,0.333333343,0.356561393,0.975997972,0.981499565,0.961994624,0.955494785,0.987998068,0.971998799,0.333333343,0.333333343,0.879427779,0.91641314,0.952997494,0.951494789,0.89715941,0.920998645,0.877839899,0.823969889,0.920486069,0.809992862,0.868292618,0.808715498,0.904449832,0.928493619,0.911496091,0.976496804,0.968995857,0.97999593,0.978496993,0.985499501,0.975498474,0.968978155,0.962997544,0.91792748,0.915828371,0.819349158,0.978996336,0.981497002,0.974497974,0.977495718,0.99199965,0.978997207,0.981872544,0.970480323,0.978996384,0.981999838,0.973991072,0.975493729,0.793320131,0.841463554,0.810150123
39,blimp-existential_there_quantifiers_1,semantics,quantifiers,sentence classification,1,blimp-existential_there_quantifiers_1,0.999499989,1,0.99449954,1,0.998499966,0.997499943,0.333333343,0.360018814,0.998999977,0.998999977,0.994499671,0.996499944,0.998499966,0.997499967,0.333333343,0.333333343,0.977997577,0.984999323,0.998999977,0.988499153,0.981996918,0.986497474,0.968999445,0.944499075,0.986999083,0.885870874,0.957495725,0.962978411,0.978999877,0.977496505,0.979499829,0.993499899,0.987999713,1,0.999499989,0.996499896,0.998999977,0.997999954,1,0.991499972,0.991999912,0.96374245,0.999499989,0.999499989,0.996499825,0.996499825,0.999499989,1,0.998124957,0.99649992,0.996499753,1,0.999374986,1,0.978990638,0.499210036,0.499584311
