,probing dataset,linguistic subfield,linguistic phenomena,probe type,train portion,probe,EleutherAI/pythia-1b,EleutherAI/pythia-1b-deduped,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b-deduped,EleutherAI/pythia-12b,EleutherAI/pythia-12b-deduped,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b-deduped,EleutherAI/pythia-410m,EleutherAI/pythia-410m-deduped,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b-deduped,albert-base-v2,bert-base-uncased,google/electra-base-discriminator,google/t5-xxl-lm-adapt,gpt2,facebook/bart-base,meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-hf,microsoft/deberta-base,microsoft/deberta-v3-base,roberta-base,EleutherAI/pythia-160m,EleutherAI/pythia-160m-deduped,EleutherAI/pythia-70m,EleutherAI/pythia-70m-deduped,google/flan-t5-xxl,google/flan-t5-large,google/flan-t5-xl,google/flan-t5-base,google/flan-t5-small,google/flan-ul2,google/t5-small-lm-adapt,google/t5-base-lm-adapt,google/t5-large-lm-adapt,google/t5-xl-lm-adapt,google/ul2,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-hf,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-hf,allenai/tulu-2-dpo-13b,allenai/tulu-2-13b,allenai/tulu-2-70b,allenai/tulu-2-dpo-70b,microsoft/Orca-2-13b,lmsys/vicuna-13b-v1.5,mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai/Mixtral-8x7B-v0.1,databricks/dolly-v2-12b,WizardLM/WizardLM-13B-V1.2,ibm/merlinite-7b,ibm/labradorite-13b,allenai/tk-instruct-11b-def,sentence-transformers/average_word_embeddings_glove.840B.300d,sentence-transformers/average_word_embeddings_glove.6B.300d
11,blimp-animate_subject_passive,syntax,argument structure,sentence classification,0.001953125,blimp-animate_subject_passive,0.523110843,0.453933185,0.54187485,0.351654088,0.574485779,0.569000661,0.522791916,0.532839435,0.529173529,0.423795563,0.580858779,0.598770666,0.568862295,0.494081092,0.454755026,0.618449569,0.366666675,0.524031365,0.532156241,0.558638918,0.503807074,0.508129185,0.405904913,0.352092969,0.361989307,0.38512041,0.388105887,0.592677045,0.514352804,0.64396776,0.462101233,0.497547901,0.644352317,0.537488306,0.446112001,0.537969291,0.600097096,0.579233432,0.604858637,0.590128744,0.597142506,0.578067601,0.541729504,0.510212362,0.580780649,0.588735092,0.515534282,0.527954972,0.443901235,0.4774221,0.34625138,0.355996922,0.61207118,0.58530359,0.450099599,0.566556299,0.683829689,0.494485545,0.518055528
12,blimp-animate_subject_trans,syntax,argument structure,sentence classification,0.001953125,blimp-animate_subject_trans,0.74228456,0.557023555,0.670533824,0.591574103,0.804099774,0.811467552,0.814805126,0.79677403,0.53620553,0.503264288,0.786397827,0.809127855,0.561931843,0.661537063,0.379162657,0.570949817,0.423230487,0.664256656,0.712199342,0.79538871,0.507427526,0.394399095,0.535053372,0.342243218,0.401118958,0.346056271,0.339524966,0.568943977,0.631537426,0.682509089,0.64712286,0.608884054,0.793162358,0.575483543,0.663567638,0.628099036,0.664162672,0.823143995,0.801174223,0.691714001,0.807829642,0.740969026,0.801805449,0.791728294,0.840188396,0.833047438,0.739802241,0.762816,0.727572358,0.580177647,0.576435888,0.44130747,0.830241299,0.43148687,0.688232863,0.794370008,0.689874554,0.676155466,0.550988591
13,blimp-causative,syntax,argument structure,sentence classification,0.001953125,blimp-causative,0.552377427,0.548897564,0.65541594,0.600375479,0.63603518,0.685067868,0.629100215,0.599562168,0.554350907,0.524991643,0.597468352,0.643914795,0.539085966,0.61054008,0.549972534,0.670049024,0.333333343,0.576776552,0.59171257,0.609909451,0.508107889,0.683930993,0.374421811,0.343613541,0.356823719,0.361323988,0.419353265,0.663463545,0.491786718,0.710959804,0.458676475,0.48960827,0.738489902,0.390616196,0.532387924,0.524346358,0.59574393,0.690931344,0.606784081,0.628320932,0.571575654,0.537599242,0.606000638,0.60813632,0.582759035,0.610877371,0.602462983,0.599506176,0.587021291,0.584310216,0.526506245,0.439499533,0.644733226,0.592206335,0.611299074,0.642400098,0.747599602,0.492839628,0.456871682
14,blimp-complex_NP_island,syntax,island effects,sentence classification,0.001953125,blimp-complex_NP_island,0.451593447,0.496860743,0.473960251,0.367943443,0.488866407,0.509245956,0.444109118,0.453165579,0.430189192,0.436169076,0.470212704,0.500759619,0.477471739,0.521083927,0.468960017,0.503958464,0.414769655,0.536412358,0.600069606,0.529097414,0.44841193,0.442677402,0.430630708,0.333333343,0.345790982,0.349586326,0.360609221,0.585485965,0.53278203,0.504130942,0.45270167,0.456193823,0.468728328,0.424162191,0.491699123,0.458973616,0.492362994,0.512719929,0.557076359,0.551891434,0.550338161,0.500232184,0.607210553,0.586326158,0.58293469,0.614656425,0.528617978,0.540796483,0.438423896,0.405446184,0.397074425,0.395966673,0.536087334,0.496606842,0.417742848,0.557714128,0.547705686,0.482075489,0.498228097
15,blimp-coordinate_structure_constraint_complex_left_branch,syntax,island effects,sentence classification,0.001953125,blimp-coordinate_structure_constraint_complex_left_branch,0.558875233,0.576521885,0.598281944,0.56304152,0.620950365,0.792377591,0.68317709,0.684393775,0.48042686,0.533955044,0.702083886,0.812903392,0.496224302,0.673483992,0.652447629,0.767152214,0.346764582,0.613350677,0.589530635,0.572030997,0.468038917,0.698064327,0.495682353,0.34849478,0.342196149,0.350962406,0.353943551,0.624748826,0.654605192,0.578178048,0.614710021,0.541416776,0.536538976,0.570510948,0.507796437,0.565633291,0.617393368,0.757969356,0.69821614,0.79770081,0.824837589,0.695731986,0.547299606,0.60604915,0.771118259,0.783966315,0.627471066,0.603442144,0.657666326,0.55595758,0.49683817,0.39143998,0.693666506,0.488470834,0.592847836,0.628154159,0.473250932,0.421939063,0.483813429
16,blimp-coordinate_structure_constraint_object_extraction,syntax,island effects,sentence classification,0.001953125,blimp-coordinate_structure_constraint_object_extraction,0.655266571,0.61299665,0.489684802,0.569588035,0.740791762,0.660589248,0.603331822,0.681934977,0.582329428,0.495271486,0.624583757,0.725656176,0.4973409,0.556330955,0.431540227,0.498726648,0.41389963,0.629431558,0.591384494,0.589877135,0.610835755,0.647205943,0.378873616,0.394314104,0.376410168,0.393041259,0.379848516,0.566153872,0.471331143,0.583131635,0.537590146,0.443477118,0.626662409,0.507628828,0.509197903,0.480786622,0.498922861,0.526805401,0.65444473,0.680724025,0.593998075,0.636121297,0.559145224,0.555623621,0.652663672,0.677229345,0.532452375,0.626989317,0.475323206,0.45870145,0.495897645,0.442524344,0.674793255,0.55647772,0.476029074,0.544441777,0.51215089,0.455593532,0.485695982
17,blimp-determiner_noun_agreement_1,morphology,determiner noun agreement,sentence classification,0.001953125,blimp-determiner_noun_agreement_1,0.497938722,0.491346973,0.494285882,0.502215952,0.57874611,0.526578873,0.57389369,0.52419619,0.455437762,0.431552273,0.617351365,0.554883158,0.564936185,0.564896762,0.684225464,0.742615664,0.357271564,0.528232992,0.45718559,0.529017162,0.547464271,0.742684048,0.396520197,0.360464537,0.353201497,0.352931052,0.44656899,0.527679825,0.616222131,0.673022532,0.485944694,0.448182541,0.592724836,0.464159191,0.53632583,0.540888411,0.587440622,0.58638947,0.451222986,0.436996359,0.454117709,0.486319613,0.530481517,0.526405483,0.459750301,0.447379363,0.502639428,0.582054853,0.493255818,0.492373514,0.42367925,0.377238023,0.557280374,0.474407768,0.449624187,0.511111927,0.606693411,0.478798801,0.457516271
18,blimp-determiner_noun_agreement_2,morphology,determiner noun agreement,sentence classification,0.001953125,blimp-determiner_noun_agreement_2,0.561136746,0.588899326,0.577123415,0.558999825,0.626727962,0.613274145,0.560450387,0.521428454,0.524156857,0.442840421,0.575112128,0.602562944,0.557921922,0.651530576,0.776433355,0.571481806,0.369987392,0.519151503,0.580770731,0.577617681,0.490917343,0.808582896,0.364882842,0.335536504,0.3577932,0.359668094,0.335495085,0.561185026,0.548701942,0.527059782,0.500404757,0.495028776,0.559027779,0.490251929,0.555659169,0.591912574,0.571060145,0.47761519,0.582466316,0.578598118,0.55997138,0.628574216,0.58701911,0.56041317,0.659561515,0.650889361,0.571546984,0.559135699,0.517238069,0.435429543,0.458715212,0.395292705,0.620747089,0.534811056,0.517691773,0.563433731,0.69908694,0.493881077,0.493897325
19,blimp-determiner_noun_agreement_irregular_1,morphology,determiner noun agreement,sentence classification,0.001953125,blimp-determiner_noun_agreement_irregular_1,0.523357463,0.487628597,0.503421664,0.471043551,0.545146334,0.545970774,0.517146099,0.521525413,0.457865983,0.452419883,0.544467604,0.520801425,0.547076023,0.545176029,0.396051365,0.494487989,0.387426972,0.494825196,0.52633667,0.532365179,0.435974292,0.528710383,0.39942733,0.334439659,0.382859612,0.348409641,0.38638379,0.570749879,0.464195722,0.608647037,0.488592643,0.401112908,0.491025537,0.434989011,0.476023144,0.512576061,0.554353881,0.607765293,0.56135664,0.619774699,0.53309384,0.573962164,0.519813257,0.528697121,0.617982519,0.614203525,0.48182683,0.582667959,0.50005663,0.483296162,0.430659705,0.346263957,0.522579241,0.499074658,0.455527598,0.532254398,0.443181324,0.47888177,0.470749766
20,blimp-determiner_noun_agreement_irregular_2,morphology,determiner noun agreement,sentence classification,0.001953125,blimp-determiner_noun_agreement_irregular_2,0.592259061,0.503040534,0.590531659,0.485026956,0.629956508,0.610467255,0.611313772,0.566946864,0.575792408,0.508010989,0.508020669,0.637149704,0.548365188,0.55764519,0.759267062,0.696849978,0.379106283,0.516371465,0.541301286,0.517435944,0.509629542,0.633332175,0.376830561,0.364913672,0.35412941,0.35816347,0.382149434,0.597968042,0.52960996,0.549725914,0.455580056,0.466111392,0.504518735,0.486192197,0.445603704,0.574067533,0.582023132,0.597462308,0.557054198,0.58844769,0.5799824,0.54780339,0.55196566,0.570171475,0.60929575,0.595855093,0.540865684,0.580655444,0.482786691,0.523492128,0.478590029,0.402685165,0.632863808,0.606769294,0.49241612,0.585847187,0.521772772,0.49151777,0.467134553
21,blimp-determiner_noun_agreement_with_adj_2,morphology,determiner noun agreement,sentence classification,0.001953125,blimp-determiner_noun_agreement_with_adj_2,0.531534231,0.512344021,0.479378802,0.52815057,0.56444658,0.547815561,0.526151431,0.522133231,0.517841756,0.417341715,0.569596493,0.559161589,0.552469432,0.595280391,0.789360887,0.792948139,0.409555668,0.522175729,0.51282928,0.551870334,0.460847843,0.821728563,0.439277047,0.384227335,0.350750613,0.354500711,0.384913337,0.569211531,0.475324917,0.798945022,0.468249446,0.478352565,0.676992905,0.420727271,0.606127775,0.531355613,0.534137917,0.639504683,0.540752339,0.575223613,0.570379663,0.57607094,0.540120232,0.551712763,0.581890857,0.593780386,0.529475093,0.540220886,0.499649596,0.480033106,0.38384555,0.431007117,0.468285066,0.501730561,0.505870068,0.574679565,0.688537943,0.470533931,0.48866992
22,blimp-determiner_noun_agreement_with_adj_irregular_1,morphology,determiner noun agreement,sentence classification,0.001953125,blimp-determiner_noun_agreement_with_adj_irregular_1,0.489713383,0.486149132,0.457464182,0.476861459,0.589961159,0.546501446,0.502514577,0.520575863,0.49072302,0.516132247,0.556955588,0.56087079,0.506637985,0.578109235,0.568422067,0.619300759,0.362584794,0.550957441,0.517341793,0.524386656,0.501467752,0.767751551,0.333333343,0.416100347,0.370567632,0.351776969,0.377715808,0.575436813,0.547110772,0.536234683,0.483206981,0.440455711,0.665302634,0.458836532,0.526659977,0.476943409,0.536105144,0.528845584,0.51447193,0.566557157,0.530350912,0.563932991,0.497193015,0.494344586,0.555424809,0.561108387,0.501206023,0.521743685,0.495785248,0.454970801,0.401153183,0.363163865,0.514648879,0.464458054,0.449499243,0.496868873,0.611124539,0.472221202,0.444174731
23,blimp-determiner_noun_agreement_with_adj_irregular_2,morphology,determiner noun agreement,sentence classification,0.001953125,blimp-determiner_noun_agreement_with_adj_irregular_2,0.483644265,0.468555593,0.487319028,0.463940829,0.487691027,0.485013491,0.507398379,0.483525568,0.459937149,0.407093638,0.49973312,0.492608923,0.524580017,0.544440496,0.616952944,0.552309716,0.334705526,0.525595331,0.483941889,0.501088405,0.42097401,0.788745058,0.389849108,0.384285152,0.383723611,0.359797382,0.400750792,0.555954969,0.491830856,0.575160456,0.536882961,0.469611877,0.548877203,0.518996942,0.514688236,0.511841327,0.553384387,0.512668389,0.487784427,0.54078207,0.476467967,0.489857771,0.479054725,0.479731727,0.499037027,0.500050175,0.482864952,0.486567873,0.460362118,0.46045956,0.377647042,0.35770216,0.483280063,0.461575425,0.476866901,0.486445898,0.568961215,0.481386489,0.486357117
24,blimp-determiner_noun_agreement_with_adjective_1,morphology,determiner noun agreement,sentence classification,0.001953125,blimp-determiner_noun_agreement_with_adjective_1,0.507666439,0.485590684,0.488279426,0.535304844,0.505512309,0.596390724,0.493234819,0.517078656,0.406354517,0.420879406,0.619709349,0.552843034,0.476873118,0.517378527,0.626474512,0.534017175,0.365504813,0.490561724,0.523029697,0.570129806,0.403267521,0.773272073,0.429490191,0.387653053,0.387762862,0.381002706,0.402379465,0.587876654,0.459293449,0.744308329,0.507976466,0.447609234,0.498661357,0.437967348,0.528954118,0.558726418,0.54155618,0.401361859,0.636600304,0.633868992,0.584626663,0.596388984,0.551422989,0.556392407,0.605824947,0.613858175,0.508038455,0.562544698,0.431467462,0.421918595,0.455271691,0.367657143,0.528293896,0.529316616,0.454583585,0.581350756,0.574782658,0.46141988,0.488222367
25,blimp-distractor_agreement_relational_noun,morphology,subject-verb agreement,sentence classification,0.001953125,blimp-distractor_agreement_relational_noun,0.509902424,0.463228494,0.437109882,0.447823209,0.624742842,0.609538317,0.540726161,0.484880179,0.462421644,0.451858008,0.494408214,0.532312107,0.523176189,0.460085529,0.617472613,0.499129969,0.385121095,0.517676735,0.58877418,0.619683266,0.454088318,0.411394501,0.479560919,0.350805241,0.348553193,0.356776571,0.399223948,0.554936677,0.503014106,0.521900034,0.460317481,0.488798851,0.470370966,0.472048789,0.478770727,0.54508118,0.63501184,0.531220007,0.619892454,0.585005593,0.534550887,0.51341657,0.623098469,0.597134566,0.548198748,0.55902195,0.529754055,0.579667318,0.487204158,0.453036177,0.386120796,0.361976248,0.510132146,0.493246585,0.464948261,0.459887093,0.655377364,0.490572453,0.482441944
26,blimp-distractor_agreement_relative_clause,morphology,subject-verb agreement,sentence classification,0.001953125,blimp-distractor_agreement_relative_clause,0.488943827,0.484000154,0.485002971,0.46337952,0.549024653,0.505088371,0.432032794,0.450446999,0.496592999,0.484440237,0.517377025,0.472585666,0.516090012,0.529727924,0.445622557,0.582077456,0.333333343,0.508351254,0.487491691,0.474388617,0.522667533,0.643608177,0.372357988,0.365342164,0.34607603,0.34872824,0.358038241,0.696821654,0.527670181,0.547816509,0.480723637,0.4925309,0.635448742,0.464825386,0.521202779,0.428166664,0.536224699,0.552235305,0.531507671,0.521622968,0.510409778,0.516778851,0.467038363,0.479079837,0.501245302,0.487390238,0.490944862,0.495292759,0.457023859,0.433687854,0.432132298,0.345565796,0.527150154,0.483798683,0.478197163,0.445466125,0.462467742,0.471660715,0.464637542
27,blimp-drop_argument,syntax,argument structure,sentence classification,0.001953125,blimp-drop_argument,0.535876286,0.455748409,0.545844626,0.462218976,0.55502311,0.556971657,0.520523858,0.509388077,0.491801584,0.52135433,0.579077816,0.555621445,0.533333057,0.562639177,0.554749238,0.529847807,0.362154561,0.525008857,0.52087183,0.547847319,0.460007179,0.413954729,0.440349206,0.345545852,0.38947621,0.337900442,0.340435839,0.515373415,0.485282016,0.591996014,0.530070615,0.469142467,0.450955433,0.480305493,0.457048285,0.516152269,0.535831475,0.521500754,0.559476125,0.473759931,0.515933549,0.522637591,0.481312758,0.475255555,0.470193374,0.467752796,0.49980008,0.519240916,0.501999927,0.497008175,0.41606518,0.419994056,0.543239367,0.532431859,0.480926228,0.528781581,0.50613333,0.472307473,0.533893573
28,blimp-ellipsis_n_bar_1,syntax,ellipsis,sentence classification,0.001953125,blimp-ellipsis_n_bar_1,0.541711926,0.529554164,0.470561069,0.498481488,0.578254068,0.493135184,0.566603512,0.533056462,0.498088259,0.467460543,0.570302081,0.552074873,0.57978003,0.565685302,0.574365723,0.487479496,0.408824629,0.544397849,0.549467176,0.530387962,0.51159718,0.647658521,0.476832581,0.425685012,0.343777542,0.376779521,0.352045965,0.513591492,0.510508186,0.549715668,0.512061018,0.481933981,0.585471976,0.464250189,0.535139203,0.545223111,0.648564029,0.607627881,0.605522108,0.499329054,0.581604517,0.51469298,0.505465072,0.51954242,0.513605046,0.543789661,0.556280524,0.606027752,0.512677352,0.40643661,0.451187134,0.393110001,0.558100617,0.514101934,0.478780234,0.59070034,0.5876333,0.468102205,0.457758433
29,blimp-ellipsis_n_bar_2,syntax,ellipsis,sentence classification,0.001953125,blimp-ellipsis_n_bar_2,0.502928227,0.516983056,0.523080224,0.476995039,0.605125093,0.583506501,0.575534987,0.528652078,0.491788775,0.473034424,0.596612,0.58816967,0.395297498,0.498259628,0.505528557,0.469765568,0.333333343,0.537351072,0.527766448,0.545671868,0.563655519,0.590964597,0.452998525,0.365807432,0.360117763,0.362455642,0.387745869,0.579018438,0.55199638,0.749036872,0.589674813,0.464725035,0.567607653,0.608359897,0.55735054,0.61801405,0.567794222,0.606101477,0.493429786,0.559311187,0.4879287,0.441703415,0.528214955,0.52112186,0.611414933,0.590635031,0.470720333,0.537751025,0.502376,0.497588462,0.438513637,0.359689718,0.522490287,0.579612923,0.449191821,0.4563169,0.472260302,0.464245325,0.486586857
